"abb","id","meanIAT","size","name"
"AK",2,0.38,2330,"Alaska"
"AL",1,0.44,12205,"Alabama"
"AR",5,0.41,8305,"Arkansas"
"AZ",4,0.4,19146,"Arizona"
"CA",6,0.39,98583,"California"
"CO",8,0.36,24860,"Colorado"
"CT",9,0.41,18839,"Connecticut"
"DC",11,0.37,7594,"District of Columbia"
"DE",10,0.44,3232,"Delaware"
"FL",12,0.43,50256,"Florida"
"GA",13,0.43,29700,"Georgia"
"HI",15,0.37,1654,"Hawaii"
"IA",19,0.39,17595,"Iowa"
"ID",16,0.35,6548,"Idaho"
"IL",17,0.41,66259,"Illinois"
"IN",18,0.41,33814,"Indiana"
"KS",20,0.39,12076,"Kansas"
"KY",21,0.4,15649,"Kentucky"
"LA",22,0.44,9928,"Louisiana"
"MA",25,0.39,43092,"Massachusetts"
"MD",24,0.41,26998,"Maryland"
"ME",23,0.37,6320,"Maine"
"MI",26,0.4,44187,"Michigan"
"MN",27,0.39,34808,"Minnesota"
"MO",29,0.41,27774,"Missouri"
"MS",28,0.46,4220,"Mississippi"
"MT",30,0.35,4734,"Montana"
"NC",37,0.42,38129,"North Carolina"
"ND",38,0.39,3433,"North Dakota"
"NE",31,0.4,12392,"Nebraska"
"NH",33,0.39,7697,"New Hampshire"
"NJ",34,0.43,28767,"New Jersey"
"NM",35,0.34,3747,"New Mexico"
"NV",32,0.4,7118,"Nevada"
"NY",36,0.41,71489,"New York"
"OH",39,0.42,56070,"Ohio"
"OK",40,0.39,9637,"Oklahoma"
"OR",41,0.34,23717,"Oregon"
"PA",42,0.41,62212,"Pennsylvania"
"RI",44,0.4,5117,"Rhode Island"
"SC",45,0.45,12795,"South Carolina"
"SD",46,0.37,3238,"South Dakota"
"TN",47,0.42,19026,"Tennessee"
"TX",48,0.41,58778,"Texas"
"UT",49,0.36,14445,"Utah"
"VA",51,0.42,40242,"Virginia"
"VT",50,0.38,6199,"Vermont"
"WA",53,0.36,37060,"Washington"
"WI",55,0.39,44164,"Wisconsin"
"WV",54,0.41,6815,"West Virginia"
"WY",56,0.35,1759,"Wyoming"
